Name,BioProject,BioSample,SRA,Assembly,Collection
EC104,PRJNA480723,SAMN10180184,SRR7967840,GCA_008385515.1,Sydney
EC108,PRJNA480723,SAMN10180185,SRR7967841,GCA_008385495.1,Sydney
EC11,PRJNA480723,SAMN10180186,SRR7967838,GCA_008385475.1,Sydney
EC120,PRJNA480723,SAMN10180188,SRR7967844,GCA_008385455.1,Sydney
EC123,PRJNA480723,SAMN10180189,SRR7967845,GCA_008385425.1,Sydney
EC128,PRJNA480723,SAMN10180190,SRR7967842,GCA_008385675.1,Sydney
EC12,PRJNA480723,SAMN10180187,SRR7967839,GCA_008385395.1,Sydney
EC131,PRJNA480723,SAMN10180191,SRR7967843,GCA_008385345.1,Sydney
EC137,PRJNA480723,SAMN10180192,SRR7967822,GCA_008385315.1,Sydney
EC147,PRJNA480723,SAMN10180193,SRR7967837,GCA_008385365.1,Sydney
EC149,PRJNA480723,SAMN10180194,SRR7967852,GCA_008385275.1,Sydney
EC152,PRJNA480723,SAMN10180196,SRR7967850,GCA_008385265.1,Sydney
EC15,PRJNA480723,SAMN10180195,SRR7967853,GCA_008385255.1,Sydney
EC160,PRJNA480723,SAMN10180198,SRR7967856,GCA_008385545.1,Sydney
EC164,PRJNA480723,SAMN10180199,SRR7967857,GCA_008385225.1,Sydney
EC168,PRJNA480723,SAMN10180200,SRR7967854,GCA_008385175.1,Sydney
EC169,PRJNA480723,SAMN10180201,SRR7967855,GCA_008385185.1,Sydney
EC16,PRJNA480723,SAMN10180197,SRR7967851,GCA_008385535.1,Sydney
EC173,PRJNA480723,SAMN10180202,SRR7967846,GCA_008389355.1,Sydney
EC177,PRJNA480723,SAMN10180203,SRR7967847,GCA_008385105.1,Sydney
EC178,PRJNA480723,SAMN10180204,SRR7967829,GCA_008385095.1,Sydney
EC179,PRJNA480723,SAMN10180205,SRR7967828,GCA_008385085.1,Sydney
EC182,PRJNA480723,SAMN10180206,SRR7967827,GCA_008385075.1,Sydney
EC19,PRJNA480723,SAMN10180207,SRR7967826,GCA_008389365.1,Sydney
EC20,PRJNA480723,SAMN10180209,SRR7967832,GCA_008389295.1,Sydney
EC222,PRJNA480723,SAMN10180210,SRR7967831,GCA_008389305.1,Sydney
EC223,PRJNA480723,SAMN10180211,SRR7967830,GCA_008385695.1,Sydney
EC226,PRJNA480723,SAMN10180212,SRR7967835,GCA_008389275.1,Sydney
EC230,PRJNA480723,SAMN10180213,SRR7967834,GCA_008389235.1,Sydney
EC231,PRJNA480723,SAMN10180214,SRR7967821,GCA_008385645.1,Sydney
EC232,PRJNA480723,SAMN10180215,SRR7967823,GCA_008389255.1,Sydney
EC233,PRJNA480723,SAMN10180216,SRR7967824,GCA_008389215.1,Sydney
EC234,PRJNA480723,SAMN10180217,SRR7967825,GCA_008389185.1,Sydney
EC235,PRJNA480723,SAMN10180218,SRR7967858,GCA_008389165.1,Sydney
EC236,PRJNA480723,SAMN10180219,SRR7967859,GCA_008389135.1,Sydney
EC239,PRJNA480723,SAMN10180220,SRR7967819,GCA_008389155.1,Sydney
EC247,PRJNA480723,SAMN10180222,SRR7967848,GCA_008389095.1,Sydney
EC249a,PRJNA480723,SAMN10180223,SRR7967849,GCA_008385615.1,Sydney
EC24,PRJNA480723,SAMN10180221,SRR7967820,GCA_008389115.1,Sydney
EC250,PRJNA480723,SAMN10180225,SRR7967918,GCA_008389055.1,Sydney
EC25,PRJNA480723,SAMN10180224,SRR7967836,GCA_008389075.1,Sydney
EC272,PRJNA480723,SAMN10180226,SRR7967919,GCA_008389025.1,Sydney
EC273,PRJNA480723,SAMN10180227,SRR7967920,GCA_008388975.1,Sydney
EC274,PRJNA480723,SAMN10180228,SRR7967921,GCA_020591825.1,Sydney
EC275,PRJNA480723,SAMN10180229,SRR7967914,GCA_008389015.1,Sydney
EC276,PRJNA480723,SAMN10180230,SRR7967915,GCA_008388935.1,Sydney
EC280,PRJNA480723,SAMN10180231,SRR7967916,GCA_008388955.1,Sydney
EC282,PRJNA480723,SAMN10180232,SRR7967917,GCA_008388905.1,Sydney
EC285,PRJNA480723,SAMN10180233,SRR7967912,GCA_008388865.1,Sydney
EC290,PRJNA480723,SAMN10180235,SRR7967904,GCA_008388855.1,Sydney
EC297,PRJNA480723,SAMN10180236,SRR7967905,GCA_008388895.1,Sydney
EC29,PRJNA480723,SAMN10180234,SRR7967913,#N/A,Sydney
EC2,PRJNA480723,SAMN10180208,SRR7967833,GCA_008389335.1,Sydney
EC302,PRJNA480723,SAMN10180237,SRR7967906,GCA_008388815.1,Sydney
EC308,PRJNA480723,SAMN10180238,SRR7967907,GCA_008388835.1,Sydney
EC323,PRJNA480723,SAMN10180239,SRR7967908,GCA_008388765.1,Sydney
EC330,PRJNA480723,SAMN10180241,SRR7967910,GCA_008388715.1,Sydney
EC337,PRJNA480723,SAMN10180242,SRR7967911,GCA_008388755.1,Sydney
EC33,PRJNA480723,SAMN10180240,SRR7967909,GCA_008388795.1,Sydney
EC345,PRJNA480723,SAMN10180243,SRR7967896,GCA_008388725.1,Sydney
EC347,PRJNA480723,SAMN10180244,SRR7967897,GCA_008388695.1,Sydney
EC357,PRJNA480723,SAMN10180246,SRR7967887,GCA_008388675.1,Sydney
EC35,PRJNA480723,SAMN10180245,SRR7967888,GCA_008388635.1,Sydney
EC36,PRJNA480723,SAMN10180247,SRR7967890,GCA_020591815.1,Sydney
EC372,PRJNA480723,SAMN10180248,SRR7967889,GCA_008388645.1,Sydney
EC385,PRJNA480723,SAMN10180249,SRR7967884,GCA_008388575.1,Sydney
EC393,PRJNA480723,SAMN10180250,SRR7967883,GCA_008385635.1,Sydney
EC398,PRJNA480723,SAMN10180251,SRR7967886,GCA_008388605.1,Sydney
EC44,PRJNA480723,SAMN10180252,SRR7967885,GCA_008388595.1,Sydney
EC45,PRJNA480723,SAMN10180253,SRR7967892,GCA_008388535.1,Sydney
EC46,PRJNA480723,SAMN10180254,SRR7967891,GCA_008388555.1,Sydney
EC51,PRJNA480723,SAMN10180256,SRR7967903,GCA_008388495.1,Sydney
EC56,PRJNA480723,SAMN10180257,SRR7967900,GCA_008388415.1,Sydney
EC5,PRJNA480723,SAMN10180255,SRR7967902,GCA_008388475.1,Sydney
EC65,PRJNA480723,SAMN10180258,SRR7967901,GCA_008388505.1,Sydney
EC66,PRJNA480723,SAMN10180259,SRR7967898,GCA_008388435.1,Sydney
EC68,PRJNA480723,SAMN10180260,SRR7967899,GCA_008385575.1,Sydney
EC70,PRJNA480723,SAMN10180262,SRR7967894,GCA_008388445.1,Sydney
EC7,PRJNA480723,SAMN10180261,SRR7967893,GCA_008385585.1,Sydney
EC84,PRJNA480723,SAMN10180264,SRR7967882,GCA_008388335.1,Sydney
EC87,PRJNA480723,SAMN10180265,SRR7967895,GCA_008388345.1,Sydney
EC8,PRJNA480723,SAMN10180263,SRR7967881,GCA_008388375.1,Sydney